Original_Index,Supplier,Lock_Reason,Extracted,Status,Corrected_Requirement
676,BONNYSA S.A.T. Nº 9359 .,"In the audit carried out by Sygma Certification S.L. on 18, 19 and 20 February, the following Non-conformities were raised:
 
 NC K.O. 2.3.9.1 
 
 During the visit to the plant, in the pineapple handling area, the metal detector screen displayed ""pending error."" The conveyor belt did not stop, there was no visual or audible alarm, and no member of staff present on the line noticed the issue. As a result, the product continued to pass through, be weighed, and packaged, affecting batch 049: whole ","4.12.6, 4.9.2.3, 4.9.3.1, 4.9.3.2, 4.16.1, 4.9.4.1, 4.17.4, 5.11.3, 4.9.2.2",MULTIPLE,
677,LACTO SINELLI SRL,"The following Non-conformities have been raised during the IFS Food version 8 audit from 02.02.2026 to 04.02.2026 at LACTO SINELLI SRL - COID 76358.
 
 Non-conformity type: Major non-conformity
 IFS requirement: 4.5.2
 NC description:
 During the onsite assessment, deficiencies were identified regarding the control, documentation, and verification of food contact materials. During the onsite visit of the final product storage warehouse, it was observed that whey cheese (lot no. 034, best before ","4.18.1, 4.8.2, 4.5.2, 5.6.1, 5.11.3, 5.1.2, 4.12.7",MULTIPLE,
678,GUSTO MUNDIAL BALEARIDES SL,The company stops production at this site,,MISSING,
679,FRIMAR PANADEROS S.L.,"Mayor NC against 4.13.2: Preventive measures implemented by the company to avoid pest are not enough.
 Findings: during the plant visit, inside the powder egg silo (vessel) of L21-22, one live lepidoptera was seen in contact with the product. The company immediately did empty the silo and retained the possible affected product, but it was not possible to ensure that other products could have been affected.
 In addition, in the upper area of production Line L23, where other vessels with micro-ing",4.13.2,OK,
680,Kirn Production SAS,"During the audit from January 26 to 30, 2026, a KO was raised on item 5.11.3 : Various shortcomings in the follow-up of corrective actions were identified during the audit:
 -The follow-up of the action plan resulting from the last IFS audit is insufficient. The corrective actions defined have not always prevented the recurrence of deviations. In fact, during the IFS 2025 audit, 32 deviations were identified. During the current audit, of the 32 deviations, 15 have been resolved and 17 are either","4.8.2, 5.11.3, 2.3.6.1, 2.3.5.1",MULTIPLE,
681,BODEGAS RIOJANAS (centro Cenicero) S.A.,NSF has been made aware by the site that the facility will drop the IFS Food certification.,,MISSING,
682,CIOLI EGIDIO S.R.L.,"On 03 February-2026 an IFS Integrity On-site check was carried out where 2 non-conformities were identified against the following IFS-Food v8 requirements: 
 
 2.3.8.1. Major: The processing time is not monitored. There is no study on the elimination of pathogens in the product. The validation of CCP7 document is inconsistent. In the traceability test of roast ham carried out on the day of the IOC, the pasteurisation treatment was different from limits defined in the HACCP. The equivalent time/t","4.3.3, 2.3.8.1",MULTIPLE,
683,Gondamar & Fish S.L.,"In the IFS Food ANNOUNCED recertification audit performed on 10.02.2026 – 12.02.2026, 1 Major Scoring non-conformity was identified on requirement 4.2.1.5:
 
 “Salmon burgers Gondamar branded includes in label Free from Gluten, Free from Lactose and Free from egg claims and no measures are implemented to demonstrate compliance with such declarations as performance of regular test to verify absence in final product neither formal studies to justify the absence of such allergens in final product. ",4.2.1.5,OK,
684,ORMA. S.r.l.,"Following the IFS Integrity On-site Check conducted on February 17, 2026, at ORMA SRL, one (1) Knock-out (KO) and three (3) Major non-conformities were identified. The relevant clause numbers are as follows: 
 
 4.12.1 – KO: Given that the company does not have foreign body detection devices (sieves, filters, metal detectors/X-rays) and the only control measure to ensure the absence of foreign materials in the finished product is visual inspection during processing), during the audit, the follow","4.14.5, 4.17.2, 4.12.1, 4.3.2",MULTIPLE,
685,OLMO MAZCUÑAN S.L.,"In the audit carried out by OCA GLOBAL on 10,11-02-2026, a MAJOR nonconformity was raised against requirement 4.5.2 with the following description: 
 The company purchases the product “shiimeji marrón” already packed in its final packaging (plastic tray sealed with film) from two suppliers: Fujixx Ningxxx Yongx Traxxx (China) and Laumoxxx (national supplier).
 The product is received fully packaged, with no handling of the product being carried out. In both cases, the supplier’s original tray is",4.5.2,OK,
686,"GRUPO DISFRUTA EXPORT, S.L.","On 11,12-02-2026, an announced audit was conducted, and the auditor detected 1 KO Nonconformity and 2 Major Nonconformities for the following requirements:
 
 • KO rating for requirement 3.2.2: During the plant visit, the following hygiene breaches were detected:
 - Evidence of smoking inside the facilities (tobacco odor and a cigarette butt inside the trash can near the production line).
 - Evidence of eating in the production area (candy remains in the trash can on the production line and an o","3.2.2, 2.3.9.4, 5.5.1",MULTIPLE,
688,Tasco Gıda ve Danışmanlık San. Tic. Ltd. Şti. Akhisar Site .,"Tasco Gıda ve Dan. San. Tic. Ltd. Şti. (COID: 84195) company’s IFS Food v8 certification process audit conducted on 17–18–19 December 2025 is currently in the certification stage; however, since we have not yet received the payment for this stage, we are unable to finalize the certification procedures.
 
 In this context, your certificate/letter of confirmation has been temporarily suspended until the payment is completed.",,MISSING,
689,SIAS SA,"2.3.9.1-KO (D)
 Monitoring of CCP No. 5 is based on checking the core temperature of gyozas at the exit of the cooking tunnel. Monitoring is carried out every 15 minutes. During this audit, the operator responsible for this CCP was interviewed and explained that if the core temperature is non-compliant, the anomaly is immediately reported to the line supervisor to stop production, and that all products exiting the oven are discarded as soon as the anomaly is detected. However, the operator state",4.1.3,OK,
690,Società Semplice Agricola Filiera Fusero Società Semplice Agricola,"Following Integrity on site check in date 13/02/2026 and after preliminary technical review and decision, the certificate is suspended for the following reasons:
 
 § 2.1.2.1 Major Nonconformity
 On the day of the IOC, the following records required by the HACCP Plan and the Quality Management System were not up to date: ## Statistical weight control on final products: last records made on 04-FEB-2026(the weight check of productions made subsequently, e.g. panna cotta batch26035, was not recorde","4.19.3, 2.1.2.1, 5.4.1",MULTIPLE,
691,CAFES CIVIT S.A.,"During the audit carried out on 04th and 05th of February 2026, the auditor raised a Major NC in the requirement 4.3.2: During the audit, it was verified that there are labels with incorrect information related to the actual packaging date, e.g.: COFFEE BEANS CUSTOMER BRAND 1.5 KG L: 260825. Information indicated on the label: Packaging date 26/08/2025. Actual packaging dates: 03-06-08-10/10/25",4.3.2,OK,
692,Pmsweet SA,"Major NC on req 5.4.1
 The weight checks of finished products of foams are carried out by sampling on a remote scale followed in legal metrology: balance EMB-06-EMB.
 * Major NC:
 The measurement scale of the EMB-06-EMB is e=1g while the foam labels indicate a net weight of 85g accompanied by the metrological 'e'.
 For weights between 50g and 200g, the measurement scale required by the regulation is e=0.5g.
 A Major NC is assigned because the balance EMB-06-EMB is not suitable for legal checks o","5.10.2, 5.4.1",MULTIPLE,
699,ARC Integrity s.r.o.,"Non-payment of invoice No. 2554006330 for the IFS Food audit – see IFS Food Standard v.8, chapter 4.3.1.",4.3.1,OK,
700,SOCIETE AGROPALM SARL,"MAJOR non-compliance with requirement 4.13.4:
 During the workshop visit, two birds were observed in the pitting room, which is a production area posing a direct risk to the product (uncovered products in this area).
 This situation demonstrates a failure of the pest control system and a high risk of physical, microbiological, and biological contamination of the products. The protection of this production area against pests is not effective, and the confirmed presence of birds in the processing ",4.13.4,OK,
705,LASSAL COOKING S.L.U.,"During the announced audit for the maintenance of certification according to the IFS Food V 8 standard, two Major Nonconformities were detected on the first day of the audit, 10/02/2026, as detailed below:
 
 Major nonconformity (requirement 4.14.2)
 It was verified that the storage of the finished product during the visit on 10/02/2026, was non-compliant in two situations detected with incorrect cold chain control, classified as a Major Nonconformity under requirement 4.14.2:
 
 a) A pallet of ","4.14.5, 4.14.2",MULTIPLE,
706,Carbis Convenience World ApS,"during audit at another CB the following KOs/Majors were detected:
 1.2.1 During the audit, no awareness or competence regarding meeting the standard requirements was observed.
 
 2.3.9.1 *On the second day of the audit, products that had been produced and were taken to the cold room for cooling. No CCP records were kept for these products. Cooling is CCP for process.
 
 *When the Cooking - CCP records were examined, the cooking temperature was written as a minimum of 90°C on the form, while the","4.8.2, 1.2.1, 5.11.4, 4.9.8.3, 4.19.2, 5.6.1, 4.12.1, 4.2.1.3, 5.6.3, 4.14.1, 4.10.2, 5.11.3, 5.6.2",MULTIPLE,
